Original Question,Corrected Question,Grammatical,Relevance,Clarity,Specificity,Prettiness,Average Score,Reason for Corrections
"ใส่เสื้อแดงที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อแดง","ผู้หญิงใส่เสื้อแดงหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"ผู้หญิงมีใส่กระโปรงยีนส์?ผู้หญิงมีใส่กระโปรงยีนส์","ผู้หญิงใส่กระโปรงยีนส์หรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"กันแดดที่แว่นตากันแดดมี?แว่นตากันแดดเป็นกันแดด","แว่นตากันแดดกันแดดหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"ร่มมีลายดอกไม้?ร่มมีลายดอกไม้","ร่มมีลายดอกไม้หรือไม่?",5,5,5,5,5,5,No correction needed.
"ใส่เสื้อชมพูที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อชมพู","ผู้หญิงใส่เสื้อชมพูหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"ใส่รองเท้าส้นสูงสีขาวของผู้หญิงคืออะไร?ใส่รองเท้าส้นสูงสีขาวของผู้หญิงเป็นใส่รองเท้าส้นสูงสีขาว","ผู้หญิงใส่รองเท้าส้นสูงสีขาวหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity to form a clear question.
"สีแดงที่กระเป๋าสะพายมี?กระเป๋าสะพายเป็นสีแดง","กระเป๋าสะพายสีแดงหรือไม่?",5,5,5,5,5,5,Simplified question while retaining original intent.
"ตำรวจมีใส่ชุดตำรวจ?ตำรวจมีใส่ชุดตำรวจ","ตำรวจใส่ชุดตำรวจหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"ใส่หมวกของตำรวจคืออะไร?ใส่หมวกของตำรวจเป็นใส่หมวก","ตำรวจใส่หมวกหรือไม่?",4,5,5,5,4,4.6,Revised to form a clearer and more concise question.
"สีน้ำเงิน-เหลืองของรถตุ๊กตุ๊กคืออะไร?สีน้ำเงิน-เหลืองของรถตุ๊กตุ๊กเป็นสีน้ำเงิน-เหลือง","รถตุ๊กตุ๊กมีสีอะไร?","5,5,5,5,5,5,Simplified and clarified the question while retaining the original meaning.
"รถตุ๊กตุ๊กมีป้ายทะเบียนขาว?รถตุ๊กตุ๊กมีป้ายทะเบียนขาว","รถตุ๊กตุ๊กมีป้ายทะเบียนขาวหรือไม่?",5,5,5,5,5,5,Made the question grammatically correct and clear without altering its intent.
"ร้านอาหารมีป้ายเหลือง?ร้านอาหารมีป้ายเหลือง","ร้านอาหารมีป้ายเหลืองหรือไม่?",5,5,5,5,5,5,Improved readability while keeping the original meaning intact.
"มีโต๊ะเก้าอี้นั่งด้านนอกที่ร้านอาหารมี?ร้านอาหารเป็นมีโต๊ะเก้าอี้นั่งด้านนอก","ร้านอาหารมีโต๊ะเก้าอี้นั่งด้านนอกหรือไม่?",4,5,5,5,4,4.6,Corrected grammar and improved clarity.
"ขายอาหารตามสั่งของร้านอาหารคืออะไร?ขายอาหารตามสั่งของร้านอาหารเป็นขายอาหารตามสั่ง","ร้านอาหารขายอาหารตามสั่งหรือไม่?",4,5,5,5,4,4.6,Simplified phrasing for better clarity and readability.
"แผงขายผลไม้มีผ้าฟ้ากันแดด?แผงขายผลไม้มีผ้าฟ้ากันแดด","แผงขายผลไม้มีผ้าฟ้ากันแดดหรือไม่?",5,5,5,5,5,5,Polished to improve readability without changing the meaning.
"แผงขายผลไม้มีขายกล้วยกับส้ม?แผงขายผลไม้มีขายกล้วยกับส้ม","แผงขายผลไม้ขายกล้วยกับส้มหรือไม่?",5,5,5,5,5,5,Refined to make the question more natural and direct.
"อยู่ริมทางของแผงขายผลไม้คืออะไร?อยู่ริมทางของแผงขายผลไม้เป็นอยู่ริมทาง","แผงขายผลไม้อยู่ริมทางหรือไม่?",4,5,5,5,4,4.6,Improved grammar and reduced redundancy in phrasing.
"รถมอเตอร์ไซค์มีสีดำ?รถมอเตอร์ไซค์มีสีดำ","รถมอเตอร์ไซค์สีดำหรือไม่?",5,5,5,5,5,5,Simplified and clarified the question.
"จอดบนฟุตบาทที่รถมอเตอร์ไซค์มี?รถมอเตอร์ไซค์เป็นจอดบนฟุตบาท","รถมอเตอร์ไซค์จอดบนฟุตบาทหรือไม่?",4,5,5,5,4,4.6,Adjusted grammar and phrasing for clarity and correctness.
"รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน?รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน","รถมอเตอร์ไซค์มีหมวกกันน็อกแดงแขวนหรือไม่?",4,5,5,5,4,4.6,Corrected redundant grammar for clarity and fluency.
"วัตถุอะไร ใส่กับผู้หญิง?วัตถุที่ใส่กับผู้หญิงคือแว่นตากันแดด","วัตถุใดที่ผู้หญิงใส่? วัตถุที่ผู้หญิงใส่คือแว่นตากันแดด",5,5,5,5,5,5,Rephrased for natural flow and proper context.
"วัตถุอะไร ถือกับผู้หญิง?วัตถุที่ถือกับผู้หญิงคือร่ม","วัตถุใดที่ผู้หญิงถือ? วัตถุที่ผู้หญิงถือคือร่ม",5,5,5,5,5,5,Enhanced fluency and readability while keeping the meaning unchanged.
"วัตถุใดที่ผู้หญิงเดินข้าง?ผู้หญิงทำเดินข้างกับผู้หญิง","วัตถุใดที่ผู้หญิงเดินข้างด้วย? ผู้หญิงเดินข้างกับผู้หญิง",4,5,5,5,4,4.6,Fixed awkward phrasing and improved clarity.
"วัตถุอะไร หันหน้าไปทางกับผู้หญิง?วัตถุที่หันหน้าไปทางกับผู้หญิงคือรถตุ๊กตุ๊ก","วัตถุใดที่ผู้หญิงหันหน้าไปทาง? วัตถุที่ผู้หญิงหันหน้าไปทางคือรถตุ๊กตุ๊ก",5,5,5,5,5,5,Simplified and improved natural phrasing.
"ผู้หญิงอยู่ที่ไหนเมื่อเปรียบเทียบกับร้านอาหาร?ผู้หญิงทำเดินหน้าร้านกับร้านอาหาร","ผู้หญิงอยู่ที่ไหนเมื่อเทียบกับร้านอาหาร? ผู้หญิงเดินหน้าร้านกับร้านอาหาร",4,5,5,5,4,4.6,Corrected redundant wording for better readability.
"แว่นตากันแดดอยู่ที่ไหนเมื่อเปรียบเทียบกับผู้หญิง?แว่นตากันแดดทำใส่โดยกับผู้หญิง","แว่นตากันแดดอยู่ที่ไหนเมื่อเทียบกับผู้หญิง? แว่นตากันแดดถูกใส่โดยผู้หญิง",4,5,5,5,4,4.6,Refined phrasing for grammatical accuracy and natural flow.
"อะไรคือถือโดยของร่ม?ร่มทำถือโดยกับผู้หญิง","อะไรคือความสัมพันธ์ของร่มกับผู้หญิง? ร่มถูกถือโดยผู้หญิง",4,5,5,5,4,4.6,Simplified and clarified the question for better comprehension.
"วัตถุใดที่ผู้หญิงถือ?ผู้หญิงทำถือกับกระเป๋าสะพาย","วัตถุใดที่ผู้หญิงถือ? ผู้หญิงถือกระเป๋าสะพาย",5,5,5,5,5,5,Polished phrasing to remove redundancy and enhance clarity.
"วัตถุอะไร เดินข้างกับผู้หญิง?วัตถุที่เดินข้างกับผู้หญิงคือผู้หญิง","วัตถุใดที่เดินข้างผู้หญิง? วัตถุที่เดินข้างผู้หญิงคือผู้หญิง",5,5,5,5,5,5,Rephrased for conciseness and improved readability.
"วัตถุใดที่กระเป๋าสะพายถือโดย?กระเป๋าสะพายทำถือโดยกับผู้หญิง","วัตถุใดที่กระเป๋าสะพายถูกถือโดย? กระเป๋าสะพายถูกถือโดยผู้หญิง",5,5,5,5,5,5,Adjusted phrasing for grammatical correctness and natural flow.
"อะไรคือถือของตำรวจ?ตำรวจทำถือกับวิทยุสื่อสาร","อะไรคือสิ่งที่ตำรวจถือ? ตำรวจถือวิทยุสื่อสาร",5,5,5,5,5,5,Simplified and clarified the question for better readability.
"วัตถุใดที่ตำรวจยืนข้าง?ตำรวจทำยืนข้างกับรถตุ๊กตุ๊ก","วัตถุใดที่ตำรวจยืนข้าง? ตำรวจยืนข้างรถตุ๊กตุ๊ก",5,5,5,5,5,5,Removed redundancy and enhanced clarity.
"วัตถุอะไร มองไปทางกับตำรวจ?วัตถุที่มองไปทางกับตำรวจคือผู้หญิง","วัตถุใดที่ตำรวจมองไปทาง? วัตถุที่ตำรวจมองไปทางคือผู้หญิง",5,5,5,5,5,5,Refined phrasing for natural language and improved flow.
"วัตถุใดที่ตำรวจเดินตาม?ตำรวจทำเดินตามกับผู้หญิง","วัตถุใดที่ตำรวจเดินตาม? ตำรวจเดินตามผู้หญิง",5,5,5,5,5,5,Simplified and clarified the question to avoid awkward phrasing.
"วัตถุใดที่วิทยุสื่อสารถือโดย?วิทยุสื่อสารทำถือโดยกับตำรวจ","วัตถุใดที่วิทยุสื่อสารถูกถือโดย? วิทยุสื่อสารถูกถือโดยตำรวจ",5,5,5,5,5,5,Corrected grammar for passive voice and improved fluency.
"วัตถุอะไร จอดใกล้กับรถตุ๊กตุ๊ก?วัตถุที่จอดใกล้กับรถตุ๊กตุ๊กคือแผงขายผลไม้","วัตถุใดที่จอดใกล้รถตุ๊กตุ๊ก? วัตถุที่จอดใกล้รถตุ๊กตุ๊กคือแผงขายผลไม้",5,5,5,5,5,5,Adjusted wording for natural phrasing and improved clarity.
"รถตุ๊กตุ๊กอยู่ที่ไหนเมื่อเปรียบเทียบกับผู้หญิง?รถตุ๊กตุ๊กทำอยู่ซ้ายของกับผู้หญิง","รถตุ๊กตุ๊กอยู่ที่ไหนเมื่อเทียบกับผู้หญิง? รถตุ๊กตุ๊กอยู่ซ้ายของผู้หญิง",5,5,5,5,5,5,Refined for grammatical accuracy and better readability.
"อะไรคือหันหน้าไปทางของรถตุ๊กตุ๊ก?รถตุ๊กตุ๊กทำหันหน้าไปทางกับร้านอาหาร","อะไรคือทิศทางที่รถตุ๊กตุ๊กหันหน้าไปทาง? รถตุ๊กตุ๊กหันหน้าไปทางร้านอาหาร",5,5,5,5,5,5,Simplified and clarified question for natural expression.
"วัตถุอะไร อยู่ใกล้กับร้านอาหาร?วัตถุที่อยู่ใกล้กับร้านอาหารคือแผงขายผลไม้","วัตถุใดที่อยู่ใกล้ร้านอาหาร? วัตถุที่อยู่ใกล้ร้านอาหารคือแผงขายผลไม้",5,5,5,5,5,5,Improved phrasing for better natural flow and fluency.
"วัตถุใดที่ร้านอาหารอยู่หลัง?ร้านอาหารทำอยู่หลังกับรถตุ๊กตุ๊ก","วัตถุใดที่อยู่หลังร้านอาหาร? ร้านอาหารอยู่หลังรถตุ๊กตุ๊ก",5,5,5,5,5,5,Rephrased for improved fluency and clarity.
