question,choice_a,choice_b,choice_c,choice_d,correct_answer,image_path,image_page,copyright
"During which festival season is the ""Sia-Khro"" ritual typically held?",Songkran,Loi Krathong,King's Birthday,Thai Harvest Festival,a,https://ich.unesco.org/img/photo/thumb/15309-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15309,"© Khon Kaen Provincial Cultural Office, Thailand, 2019"
Which province is mentioned as the location for this cultural event?,Bangkok,Chiang Mai,Phuket,Khon Khon,d,https://ich.unesco.org/img/photo/thumb/15309-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15309,"© Khon Kaen Provincial Cultural Office, Thailand, 2019"
Which element plays a significant role in the ritual setup in the image?,Fire lanterns,Water stations,Decorative flags,Musical instruments,c,https://ich.unesco.org/img/photo/thumb/15309-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15309,"© Khon Kaen Provincial Cultural Office, Thailand, 2019"
What is the approximate number of participants shown in the image?,Fewer than 10,Between 10-30,More than 50,Exactly 45,c,https://ich.unesco.org/img/photo/thumb/15309-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15309,"© Khon Kaen Provincial Cultural Office, Thailand, 2019"
What specific festival is likely being celebrated in this photo?,Loi Krathong,Songkran,Vesak,Makha Bucha,b,https://ich.unesco.org/img/photo/thumb/15308-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15308,"© Banharn Vihokhern, Thailand, 2019"
What type of clothing is predominantly worn by the attendees for this occasion?,Casual western clothes,Formal suits and dresses,Traditional Thai garments,Beach attire,c,https://ich.unesco.org/img/photo/thumb/15308-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15308,"© Banharn Vihokhern, Thailand, 2019"
The posture of the Buddha statue in the photo likely indicates what?,A state of warning,A teaching posture,A state of meditation,A state of anger,c,https://ich.unesco.org/img/photo/thumb/15311-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15311,"Photograph: Chanyuth Sribuarod© Department of Cultural Promotion, Thailand, 2015"
"What other element, besides water, is important in the depicted festival for expressing joy and celebration?",Fireworks,Food,Colorful clothes/,Singing,c,https://ich.unesco.org/img/photo/thumb/15310-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15310,"Photograph: Chirasak Tolertmongkol© Department of Cultural Promotion, Thailand, 2015"
What is an indirect consequence of the water splashing during the festival?,Agricultural fertilization,Increasing local humidity,Cooling the atmosphere,Water contamination,c,https://ich.unesco.org/img/photo/thumb/15310-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15310,"Photograph: Chirasak Tolertmongkol© Department of Cultural Promotion, Thailand, 2015"
The location of this festival can best be described as:,"A private, indoor venue",A local temple courtyard,A public international arena,Remote natural setting,b,https://ich.unesco.org/img/photo/thumb/15310-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15310,"Photograph: Chirasak Tolertmongkol© Department of Cultural Promotion, Thailand, 2015"
What time of year does Songkran typically occur?,Winter,Spring,Summer,Autumn,c,https://ich.unesco.org/img/photo/thumb/15310-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15310,"Photograph: Chirasak Tolertmongkol© Department of Cultural Promotion, Thailand, 2015"
The act of image procession is meant to reflect:,Historical migration routes,The spiritual journey of life,Political parades,Economic prosperity,b,https://ich.unesco.org/img/photo/thumb/15310-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15310,"Photograph: Chirasak Tolertmongkol© Department of Cultural Promotion, Thailand, 2015"
Which festival is likely being celebrated in this image based on the activity shown?,Loy Krathong,Vesak,Songkran,Makha Bucha,c,https://ich.unesco.org/img/photo/thumb/15312-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15312,"Photograph: Saithan Amphoothon© Department of Cultural Promotion, Thailand, 2019"
What is the effect of monks receiving water in such rituals?,They are conferred higher religious status.,It cleanses their spiritual sins.,It is considered a form of alms-giving,They gain the ability to perform healings.,c,https://ich.unesco.org/img/photo/thumb/15312-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15312,"Photograph: Saithan Amphoothon© Department of Cultural Promotion, Thailand, 2019"
What part of Songkran involves activities different from what's portrayed in the image?,Reciting poems,Engaging in water fights,Singing traditional songs,Painting religious icons,b,https://ich.unesco.org/img/photo/thumb/15312-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15312,"Photograph: Saithan Amphoothon© Department of Cultural Promotion, Thailand, 2019"
