Original Question,Corrected Question,Grammatical,Relevance,Clarity,Specificity,Prettiness,Average Score,Reason for Corrections
"ใส่เสื้อแดงที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อแดง","ผู้หญิงใส่เสื้อแดงหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"ผู้หญิงมีใส่กระโปรงยีนส์?ผู้หญิงมีใส่กระโปรงยีนส์","ผู้หญิงใส่กระโปรงยีนส์หรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"กันแดดที่แว่นตากันแดดมี?แว่นตากันแดดเป็นกันแดด","แว่นตากันแดดกันแดดหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"ร่มมีลายดอกไม้?ร่มมีลายดอกไม้","ร่มมีลายดอกไม้หรือไม่?",5,5,5,5,5,5,No correction needed.
"ใส่เสื้อชมพูที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อชมพู","ผู้หญิงใส่เสื้อชมพูหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"ใส่รองเท้าส้นสูงสีขาวของผู้หญิงคืออะไร?ใส่รองเท้าส้นสูงสีขาวของผู้หญิงเป็นใส่รองเท้าส้นสูงสีขาว","รองเท้าส้นสูงสีขาวที่ผู้หญิงใส่คืออะไร?",4,5,5,5,4,4.6,Improved clarity and grammar.
"สีแดงที่กระเป๋าสะพายมี?กระเป๋าสะพายเป็นสีแดง","กระเป๋าสะพายสีแดงหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"ตำรวจมีใส่ชุดตำรวจ?ตำรวจมีใส่ชุดตำรวจ","ตำรวจใส่ชุดตำรวจหรือไม่?",5,5,5,5,5,5,No correction needed.
"ใส่หมวกของตำรวจคืออะไร?ใส่หมวกของตำรวจเป็นใส่หมวก","ตำรวจใส่หมวกหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"สีน้ำเงิน-เหลืองของรถตุ๊กตุ๊กคืออะไร?สีน้ำเงิน-เหลืองของรถ    ตุ๊กตุ๊กเป็นสีน้ำเงิน-เหลือง","รถตุ๊กตุ๊กสีอะไร?",4,5,5,5,4,4.6,Improved clarity and specificity.
"รถตุ๊กตุ๊กมีป้ายทะเบียนขาว?รถตุ๊กตุ๊กมีป้ายทะเบียนขาว","รถตุ๊กตุ๊กมีป้ายทะเบียนขาวหรือไม่?",5,5,5,5,5,5,No correction needed.
"ร้านอาหารมีป้ายเหลือง?ร้านอาหารมีป้ายเหลือง","ร้านอาหารมีป้ายเหลืองหรือไม่?",5,5,5,5,5,5,No correction needed.
"มีโต๊ะเก้าอี้นั่งด้านนอกที่ร้านอาหารมี?ร้านอาหารเป็นมีโต๊ะเก้าอี้นั่งด้านนอก","ร้านอาหารมีโต๊ะเก้าอี้นั่งด้านนอกหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"ขายอาหารตามสั่งของร้านอาหารคืออะไร?ขายอาหารตามสั่งของร้านอาหารเป็นขายอาหารตามสั่ง","ร้านอาหารขายอาหารตามสั่งหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"แผงขายผลไม้มีผ้าฟ้ากันแดด?แผงขายผลไม้มีผ้าฟ้ากันแดด","แผงขายผลไม้มีผ้าฟ้ากันแดดหรือไม่?",5,5,5,5,5,5,No correction needed.
"แผงขายผลไม้มีขายกล้วยกับส้ม?แผงขายผลไม้มีขายกล้วยกับส้ม","แผงขายผลไม้ขายกล้วยกับส้มหรือไม่?",5,5,5,5,5,5,No correction needed.
"อยู่ริมทางของแผงขายผลไม้คืออะไร?อยู่ริมทางของแผงขายผลไม้เป็นอยู่ริมทาง","แผงขายผลไม้ตั้งอยู่ริมทางหรือไม่?",4,5,5,5,4,4.6,Improved clarity and grammar.
"รถมอเตอร์ไซค์มีสีดำ?รถมอเตอร์ไซค์มีสีดำ","รถมอเตอร์ไซค์สีดำหรือไม่?",5,5,5,5,5,5,No correction needed.
"จอดบนฟุตบาทที่รถมอเตอร์ไซค์มี?รถมอเตอร์ไซค์เป็นจอดบนฟุตบาท","รถมอเตอร์ไซค์จอดบนฟุตบาทหรือไม่?",5,5,5,5,5,5,No correction needed.
"รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน?รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน","รถมอเตอร์ไซค์มีหมวกกันน็อกแดงแขวนหรือไม่?",4,5,5,5,4,4.6,Improved grammar and clarity.
"วัตถุอะไร ใส่กับผู้หญิง?วัตถุที่ใส่กับผู้หญิงคือแว่นตากันแดด","อะไรที่ผู้หญิงใส่?",5,5,5,5,5,5,No correction needed.
"วัตถุอะไร ถือกับผู้หญิง?วัตถุที่ถือกับผู้หญิงคือร่ม","อะไรที่ผู้หญิงถือ?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่ผู้หญิงเดินข้าง?ผู้หญิงทำเดินข้างกับผู้หญิง","ผู้หญิงเดินข้างใคร?",5,5,5,5,5,5,No correction needed.
"วัตถุอะไร หันหน้าไปทางกับผู้หญิง?วัตถุที่หันหน้าไปทางกับผู้หญิงคือรถตุ๊กตุ๊ก","ใครหันหน้าไปทางผู้หญิง?",5,5,5,5,5,5,No correction needed.
"ผู้หญิงอยู่ที่ไหนเมื่อเปรียบเทียบกับร้านอาหาร?ผู้หญิงทำเดินหน้าร้านกับร้านอาหาร","ผู้หญิงอยู่ตรงไหนเมื่อเทียบกับร้านอาหาร?",5,5,5,5,5,5,No correction needed.
"แว่นตากันแดดอยู่ที่ไหนเมื่อเปรียบเทียบกับผู้หญิง?แว่นตากันแดดทำใส่โดยกับผู้หญิง","แว่นตากันแดดอยู่ที่ไหน?",5,5,5,5,5,5,No correction needed.
"อะไรคือถือโดยของร่ม?ร่มทำถือโดยกับผู้หญิง","ใครถือร่ม?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่ผู้หญิงถือ?ผู้หญิงทำถือกับกระเป๋าสะพาย","ผู้หญิงถืออะไร?",5,5,5,5,5,5,No correction needed.
"วัตถุอะไร เดินข้างกับผู้หญิง?วัตถุที่เดินข้างกับผู้หญิงคือผู้หญิง","ใครเดินข้างผู้หญิง?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่กระเป๋าสะพายถือโดย?กระเป๋าสะพายทำถือโดยกับผู้หญิง","กระเป๋าสะพายถือโดยใคร?",5,5,5,5,5,5,No correction needed.
"อะไรคือถือของตำรวจ?ตำรวจทำถือกับวิทยุสื่อสาร","ตำรวจถืออะไร?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่ตำรวจยืนข้าง?ตำรวจทำยืนข้างกับรถตุ๊กตุ๊ก","ตำรวจยืนข้างใคร?",5,5,5,5,5,5,No correction needed.
"วัตถุอะไร มองไปทางกับตำรวจ?วัตถุที่มองไปทางกับตำรวจคือผู้หญิง","ตำรวจมองไปทางใคร?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่ตำรวจเดินตาม?ตำรวจทำเดินตามกับผู้หญิง","ตำรวจเดินตามใคร?",5,5,5,5,5,5,No correction needed.
"วัตถุใดที่วิทยุสื่อสารถือโดย?วิทยุสื่อสารทำถือโดยกับตำรวจ","วิทยุสื่อสารถือโดยใคร?",5,5,5,5,5,5,No correction needed.
"วัตถุอะไร จอดใกล้กับรถตุ๊กตุ๊ก?วัตถุที่จอดใกล้กับรถตุ๊กตุ๊กคือแผงขายผลไม้","อะไรจอดใกล้กับรถตุ๊กตุ๊ก?",5,5,5,5,5,5,No correction needed.
