Object,Attribute,Relation,Target,Question Template?Answer Template,Generated Question?Answer
leaves,red,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What red is the leaves?leaves is red.
post,black,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What black is the post?post is black.
post,iron,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What iron is the post?post is iron.
sign,blue,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the blue of the sign?The blue of sign is blue.
road,gray,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What gray does the road have?road has gray.
traffic light,black,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What black does the traffic light have?traffic light has black.
clouds,gray,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What gray does the clouds have?clouds has gray.
truck,black,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What black is the truck?truck is black.
fence,green,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What green is the fence?fence is green.
leaf,brown,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What brown is the leaf?leaf is brown.
leaf,brown,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What brown is the leaf?leaf is brown.
leaf,brown,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What brown is the leaf?leaf is brown.
leaf,brown,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What brown does the leaf have?leaf has brown.
leaf,brown,,,What {attribute} is the {object_name}?{object_name} is {attribute}.,What brown is the leaf?leaf is brown.
car,silver,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What silver does the car have?car has silver.
sign,blue,,,What is the {attribute} of the {object_name}?The {attribute} of {object_name} is {attribute}.,What is the blue of the sign?The blue of sign is blue.
leaf,yellow,,,What {attribute} does the {object_name} have?{object_name} has {attribute}.,What yellow does the leaf have?leaf has yellow.
leaves,,on,sidewalk,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the leaves on?The leaves on the sidewalk.
leaves,,to the right of,leaves,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the leaves?The object to the right of to the leaves is leaves.
leaves,,to the left of,road,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the left of to the leaves?road is to the left of to leaves.
sidewalk,,to the left of,truck,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the sidewalk?The object to the left of to the sidewalk is truck.
post,,to the left of,truck,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the post?The object to the left of to the post is truck.
post,,to the right of,fence,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the post?The object to the right of to the post is fence.
post,,to the left of,car,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the post in relation to the car?The post is to the left of to car.
sign,,to the left of,traffic light,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the left of to the sign?The object to the left of to the sign is traffic light.
road,,to the right of,leaf,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the road?leaf is to the right of to road.
road,,to the right of,fence,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the road?The object to the right of to the road is fence.
road,,to the right of,leaf,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the road?leaf is to the right of to road.
road,,to the right of,leaf,Where is the {object_name} in relation to the {target_obj_name}?The {object_name} is {relation_name} to {target_obj_name}.,Where is the road in relation to the leaf?The road is to the right of to leaf.
road,,to the right of,leaves,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the road?The object to the right of to the road is leaves.
road,,to the right of,leaf,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the road to the right of?The road to the right of the leaf.
road,,to the right of,fence,Which object does the {object_name} {relation_name}?The {object_name} {relation_name} the {target_obj_name}.,Which object does the road to the right of?The road to the right of the fence.
traffic light,,to the right of,sign,What is {relation_name} to the {object_name}?{target_obj_name} is {relation_name} to {object_name}.,What is to the right of to the traffic light?sign is to the right of to traffic light.
traffic light,,to the right of,arrow,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the traffic light?The object to the right of to the traffic light is arrow.
traffic light,,to the right of,sign,What object is {relation_name} to the {object_name}?The object {relation_name} to the {object_name} is {target_obj_name}.,What object is to the right of to the traffic light?The object to the right of to the traffic light is sign.
