Original Question,Corrected Question,Grammatical,Relevance,Clarity,Specificity,Prettiness,Average Score,Reason for Corrections
ใส่เสื้อแดงที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อแดง,ผู้หญิงใส่เสื้อแดงใช่ไหม?,5,5,5,4,5,4.8,More concise and direct
ผู้หญิงมีใส่กระโปรงยีนส์?ผู้หญิงมีใส่กระโปรงยีนส์,ผู้หญิงใส่กระโปรงยีนส์ใช่ไหม?,5,5,5,4,5,4.8,More concise and direct
กันแดดที่แว่นตากันแดดมี?แว่นตากันแดดเป็นกันแดด,แว่นตากันแดดมีไว้กันแดดใช่ไหม?,5,5,5,5,5,5,More informative and natural
ร่มมีลายดอกไม้?ร่มมีลายดอกไม้,ร่มมีลายดอกไม้ใช่ไหม?,5,5,5,4,5,4.8,More question-like
ใส่เสื้อชมพูที่ผู้หญิงมี?ผู้หญิงเป็นใส่เสื้อชมพู,ผู้หญิงใส่เสื้อชมพูใช่ไหม?,5,5,5,4,5,4.8,More concise and direct
ใส่รองเท้าส้นสูงสีขาวของผู้หญิงคืออะไร?ใส่รองเท้าส้นสูงสีขาวของผู้หญิงเป็นใส่รองเท้าส้นสูงสีขาว,ผู้หญิงใส่รองเท้าอะไร?,5,5,5,5,5,5,More direct and concise
สีแดงที่กระเป๋าสะพายมี?กระเป๋าสะพายเป็นสีแดง,กระเป๋าสะพายสีแดงใช่ไหม?,5,5,5,4,5,4.8,More concise and natural
ตำรวจมีใส่ชุดตำรวจ?ตำรวจมีใส่ชุดตำรวจ,ตำรวจใส่ชุดตำรวจใช่ไหม?,5,5,5,4,5,4.8,More concise and direct
ใส่หมวกของตำรวจคืออะไร?ใส่หมวกของตำรวจเป็นใส่หมวก,ตำรวจใส่หมวกอะไร?,5,5,5,5,5,5,More direct and concise
สีน้ำเงิน-เหลืองของรถตุ๊กตุ๊กคืออะไร?สีน้ำเงิน-เหลืองของรถตุ๊กตุ๊กเป็นสีน้ำเงิน-เหลือง,รถตุ๊กตุ๊กสีอะไร?,5,5,5,5,5,5,More direct and concise
รถตุ๊กตุ๊กมีป้ายทะเบียนขาว?รถตุ๊กตุ๊กมีป้ายทะเบียนขาว,รถตุ๊กตุ๊กมีป้ายทะเบียนขาวใช่ไหม?,5,5,5,4,5,4.8,More question-like
ร้านอาหารมีป้ายเหลือง?ร้านอาหารมีป้ายเหลือง,ร้านอาหารมีป้ายเหลืองใช่ไหม?,5,5,5,4,5,4.8,More question-like
มีโต๊ะเก้าอี้นั่งด้านนอกที่ร้านอาหารมี?ร้านอาหารเป็นมีโต๊ะเก้าอี้นั่งด้านนอก,ร้านอาหารมีโต๊ะเก้าอี้นั่งด้านนอกใช่ไหม?,5,5,5,4,5,4.8,More concise and direct
ขายอาหารตามสั่งของร้านอาหารคืออะไร?ขายอาหารตามสั่งของร้านอาหารเป็นขายอาหารตามสั่ง,ร้านอาหารขายอะไร?,5,5,5,5,5,5,More direct and concise
แผงขายผลไม้มีผ้าฟ้ากันแดด?แผงขายผลไม้มีผ้าฟ้ากันแดด,แผงขายผลไม้มีผ้าฟ้ากันแดดใช่ไหม?,5,5,5,4,5,4.8,More question-like
แผงขายผลไม้มีขายกล้วยกับส้ม?แผงขายผลไม้มีขายกล้วยกับส้ม,แผงขายผลไม้ขายอะไรบ้าง?,5,5,5,5,5,5,More informative
อยู่ริมทางของแผงขายผลไม้คืออะไร?อยู่ริมทางของแผงขายผลไม้เป็นอยู่ริมทาง,แผงขายผลไม้อยู่ตรงไหน?,5,5,5,5,5,5,More direct and concise
รถมอเตอร์ไซค์มีสีดำ?รถมอเตอร์ไซค์มีสีดำ,รถมอเตอร์ไซค์สีอะไร?,5,5,5,5,5,5,More direct and concise
จอดบนฟุตบาทที่รถมอเตอร์ไซค์มี?รถมอเตอร์ไซค์เป็นจอดบนฟุตบาท,รถมอเตอร์ไซค์จอดอยู่ไหน?,5,5,5,5,5,5,More direct and concise
รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน?รถมอเตอร์ไซค์มีมีหมวกกันน็อกแดงแขวน,รถมอเตอร์ไซค์มีหมวกกันน็อกแขวนอยู่ไหม?,5,5,5,5,5,5,More natural and informative
วัตถุอะไร ใส่กับผู้หญิง?วัตถุที่ใส่กับผู้หญิงคือแว่นตากันแดด,ผู้หญิงใส่อะไร?,5,5,5,5,5,5,More direct and concise
วัตถุอะไร ถือกับผู้หญิง?วัตถุที่ถือกับผู้หญิงคือร่ม,ผู้หญิงถืออะไร?,5,5,5,5,5,5,More direct and concise
วัตถุใดที่ผู้หญิงเดินข้าง?ผู้หญิงทำเดินข้างกับผู้หญิง,ใครเดินข้างกับผู้หญิง?,5,5,5,5,5,5,More direct and concise
วัตถุอะไร หันหน้าไปทางกับผู้หญิง?วัตถุที่หันหน้าไปทางกับผู้หญิงคือรถตุ๊กตุ๊ก,ผู้หญิงหันหน้าไปทางอะไร?,5,5,5,5,5,5,More direct and concise
ผู้หญิงอยู่ที่ไหนเมื่อเปรียบเทียบกับร้านอาหาร?ผู้หญิงทำเดินหน้าร้านกับร้านอาหาร,ผู้หญิงอยู่ตรงไหนของร้านอาหาร?,5,5,5,5,5,5,More direct and concise
แว่นตากันแดดอยู่ที่ไหนเมื่อเปรียบเทียบกับผู้หญิง?แว่นตากันแดดทำใส่โดยกับผู้หญิง,แว่นตากันแดดอยู่ที่ไหน?,5,5,5,5,5,5,More direct and concise
อะไรคือถือโดยของร่ม?ร่มทำถือโดยกับผู้หญิง,ใครถือร่ม?,5,5,5,5,5,5,More direct and concise
วัตถุใดที่ผู้หญิงถือ?ผู้หญิงทำถือกับกระเป๋าสะพาย,ผู้หญิงถืออะไร?,5,5,5,5,5,5,More direct and concise
วัตถุอะไร เดินข้างกับผู้หญิง?วัตถุที่เดินข้างกับผู้หญิงคือผู้หญิง,ใครเดินข้างกับผู้หญิง?,5,5,5,5,5,5,More direct and concise
วัตถุใดที่กระเป๋าสะพายถือโดย?กระเป๋าสะพายทำถือโดยกับผู้หญิง,ใครถือกระเป๋าสะพาย?,5,5,5,5,5,5,More direct and concise
อะไรคือถือของตำรวจ?ตำรวจทำถือกับวิทยุสื่อสาร,ตำรวจถืออะไร?,5,5,5,5,5,5,More direct and concise
วัตถุใดที่ตำรวจยืนข้าง?ตำรวจทำยืนข้างกับรถตุ๊กตุ๊ก,ตำรวจยืนข้างอะไร?,5,5,5,5,5,5,More direct and concise
